RELATORIO DA PASTA clips_2

tapo_2026-04-29_19-00-01_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_19-00-01_clipe___0000002.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_19-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_19-00-01_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_19-00-01_clipe___0000005.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_20-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_20-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000004.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_10-00-00_clipe___0000008.mp4: Entradas=0 | Saidas=2
tapo_2026-04-30_10-00-00_clipe___0000009.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000010.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_10-00-00_clipe___0000011.mp4: Entradas=1 | Saidas=1
tapo_2026-04-30_10-00-00_clipe___0000012.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000013.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_10-00-00_clipe___0000014.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_11-00-00_clipe___0000001.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_11-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_11-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_11-00-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_11-00-00_clipe___0000005.mp4: Entradas=1 | Saidas=1
tapo_2026-04-30_11-00-00_clipe___0000006.mp4: Entradas=1 | Saidas=2
tapo_2026-04-30_14-00-01_clipe___0000001.mp4: Entradas=1 | Saidas=1
tapo_2026-04-30_14-00-01_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_15-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_15-00-00_clipe___0000002.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_16-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_16-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=2
tapo_2026-04-30_16-00-00_clipe___0000003.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_16-00-00_clipe___0000004.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_16-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_16-00-00_clipe___0000006.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_16-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_20-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_20-00-00_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_20-00-00_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_20-00-00_clipe___0000004.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_20-00-00_clipe___0000005.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_20-00-00_clipe___0000006.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_20-00-00_clipe___0000007.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_20-00-00_clipe___0000008.mp4: Entradas=0 | Saidas=0
tapo_2026-04-30_20-00-00_clipe___0000009.mp4: Entradas=1 | Saidas=0
tapo_2026-04-30_20-00-00_clipe___0000010.mp4: Entradas=0 | Saidas=1
tapo_2026-04-30_21-00-00_clipe___0000001.mp4: Entradas=0 | Saidas=1
