RELATORIO DA PASTA clps

tapo_2026-04-29_17-06-00_clipe___0000001.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000003.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000006.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000007.mp4: Entradas=1 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000008.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000009.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000011.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000012.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000019.mp4: Entradas=0 | Saidas=2
tapo_2026-04-29_17-06-00_clipe___0000021.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_18-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000005.mp4: Entradas=2 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000007.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000001.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000003.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000004.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000006.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000007.mp4: Entradas=1 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000008.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000009.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000011.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_17-06-00_clipe___0000012.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_17-06-00_clipe___0000019.mp4: Entradas=0 | Saidas=2
tapo_2026-04-29_17-06-00_clipe___0000021.mp4: Entradas=1 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000002.mp4: Entradas=0 | Saidas=1
tapo_2026-04-29_18-00-01_clipe___0000003.mp4: Entradas=0 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000005.mp4: Entradas=2 | Saidas=0
tapo_2026-04-29_18-00-01_clipe___0000007.mp4: Entradas=1 | Saidas=0
